category,book_name,author,publisher,publishDate,price
小说,长安的荔枝,马伯庸,湖南文艺出版社,2022-10,45.00元
小说,太白金星有点烦,马伯庸,湖南文艺出版社,2023-6,45.00
小说,她厌男，她是我女友,[韩] 闵智炯,中国友谊出版公司,2023-5-25,48.00元
小说,六个说谎的大学生,[日] 浅仓秋成,四川文艺出版社,2023-4,45.00元
小说,无尽的玩笑,[美] 大卫·福斯特·华莱士,上海人民出版社,2023-4,168.00元
小说,大医·破晓篇,马伯庸,上海文艺出版社,2022-9,108.00元
小说,魔术师,[爱尔兰] 科尔姆·托宾,上海译文出版社,2023-4,89.00元
小说,活着,余华,作家出版社,2012-8-1,20.00元
小说,金枝（全本）,邵丽,人民文学出版社,2022-12,68
小说,如雪如山,张天翼,人民文学出版社,2022-4-1,58
小说,邻居,[日] 雫井脩介,湖南文艺出版社,2023-6,56.00
小说,命运,蔡崇达,浙江文艺出版社、广州出版社,2022-9-5,59.80元
小说,她对此感到厌烦,妚鹤,北京联合出版公司,2023-4,54.80元
小说,当我们不再理解世界,[智利]本哈明·拉巴图特,人民文学出版社,2022-9-1,59.00元
小说,夜晚的潜水艇,陈春成,上海三联书店,2020-9,52.00元
小说,狐狸,[荷]杜布拉夫卡·乌格雷西奇,北京日报出版社,2023-5,58.00元
小说,绝叫,[日] 叶真中显,北京联合出版公司,2020-7,58.00
小说,孤岛的来访者,[日] 方丈贵惠,新星出版社,2023-4,49.00元
小说,大医·日出篇,马伯庸,上海文艺出版社,2022-12,108.00元
小说,遥远的救世主,豆豆,作家出版社,2005-05-01,28.00
小说,消失的13级台阶,[日] 高野和明,上海文艺出版社,2020-5-15,42.00元
小说,额尔古纳河右岸,迟子建,人民文学出版社,2019-6-1,32.00元
小说,圣母,[日] 秋吉理香子,新星出版社,2019-3,42.00
小说,悉达多,[德] 赫尔曼·黑塞,天津人民出版社,2017-1,32.00元
小说,洛阿娜女王的神秘火焰,[意] 翁贝托·埃科,上海译文出版社,2023-4,158.00
小说,人生海海,麦家,北京十月文艺出版社,2019-4,55.00元
小说,燕食记,葛亮,人民文学出版社,2022-8,78
小说,我本芬芳,杨本芬,北京联合出版公司,2022-2-1,39.80
小说,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,广西师范大学出版社,2015-4,36.00元
小说,最后的故事,[波兰] 奥尔加·托卡尔丘克,浙江文艺出版社,2023-4,52.00元
小说,秋园,杨本芬,北京联合出版公司,2020-6,38.00元
小说,在细雨中呼喊,余华,作家出版社,2012-11-1,25.00元
小说,许三观卖血记,余华,作家出版社,2012-9,24.00元
小说,绑架回忆,[日] 大山诚一郎,北京日报出版社,2023-4-4,42
小说,两京十五日,马伯庸,湖南文艺出版社,2020-7,108.00元
小说,被遗弃的日子,[意]埃莱娜·费兰特,人民文学出版社,2023-6,59.00
小说,平原上的摩西,双雪涛,北京日报出版社,2021-4,59
小说,恶徒的救赎,[日] 高野和明,北京日报出版社,2023-4-10,49.90元
小说,恶意,[日] 东野圭吾,南海出版公司,2016-11,39.50元
小说,流俗地,【马来西亚】黎紫书,北京十月文艺出版社,2021-4-1,55
小说,白夜行,[日] 东野圭吾,南海出版公司,2013-1-1,39.50元
小说,疼痛部,[荷] 杜布拉夫卡·乌格雷西奇,北京日报出版社,2023-5,54.00元
小说,三体Ⅲ,刘慈欣,重庆出版社,2010-11,38.00元
小说,白鸟与蝙蝠,[日本] 东野圭吾,南海出版公司,2023-3,69.00元
小说,终场哨,东平王千户,广东人民出版社,2023-6,45.00
小说,失明症漫记,[葡] 若泽·萨拉马戈,河南文艺出版社,2022-8-27,66
小说,霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012-9-1,39.50元
小说,炽焰燃烧,[美]罗恩·拉什,人民文学出版社,2023-3-15,65.00元
小说,小雷因寺,张亦霆,上海文艺出版社,2023-6-1,68.00
小说,祈祷之海,[澳] 格雷格·伊根,新星出版社,2023-1,58
小说,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,河南文艺出版社,2022-8,48.00元
小说,嫌疑人X的献身,[日] 东野圭吾,南海出版公司,2008-9,28.00
小说,生死疲劳,莫言,浙江文艺出版社,2022-1,69.90
小说,我在北京送快递,胡安焉,湖南文艺出版社,2023-3-24,56.00元
小说,三体,刘慈欣,重庆出版社,2008-1,23.00
小说,人类灭绝,[日] 高野和明,北京日报出版社,2023-3-13,69.90元
小说,钻石广场,[西] 梅尔赛·罗多雷达,四川文艺出版社,2023-6-1,48.00元
小说,我的天才女友,[意] 埃莱娜·费兰特,人民文学出版社,2017-1,42.00元
小说,尸语者（上下册）,法医秦明,北京联合出版公司,2023-4-19,105.6元/套
小说,一句顶一万句,刘震云,花城出版社,2022-8,68.00元
小说,三体Ⅱ,刘慈欣,重庆出版社,2008-5,32.00
小说,月亮与六便士,[英] 威廉·萨默塞特·毛姆,浙江文艺出版社,2017-1-1,39.80元
小说,孤独的义务,[韩]尹成姬,广西师范大学出版社,2023-5,48
小说,凛冬之刃,于小千,江苏凤凰文艺出版社,2023-5-1,45.00元
小说,解忧杂货店,[日] 东野圭吾,南海出版公司,2014-5,39.50元
小说,杀死一只知更鸟,[美] 哈珀·李,译林出版社,2017-2,58.00
小说,文城,余华,北京十月文艺出版社,2021-3,59.00元
小说,物,[法]乔治·佩雷克,上海人民出版社,2023-4-30,45.00
小说,红楼梦,[清] 曹雪芹 著、高鹗,人民文学出版社,1996-12,59.70元
小说,流金,唐隐,上海文艺出版社,2023-4,88
小说,伊万·伊利奇之死,(俄罗斯) 列夫·托尔斯泰,天津人民出版社,2023-5,39.8
小说,卡拉马佐夫兄弟,[俄] 陀思妥耶夫斯基,上海译文出版社,2015-2-1,CNY 78.00
小说,追风筝的人,[美] 卡勒德·胡赛尼,上海人民出版社,2006-5,29.00元
小说,鼠疫,[法] 阿尔贝·加缪,上海译文出版社,2013-8,34.00元
小说,素食者,[韩] 韩江,四川文艺出版社,2021-9,48
小说,人生借阅室,（日）青山美智子,湖南文艺出版社,2023-1,52
小说,夜叉渡河,路魆,中信出版社,2023-5-15,58.00
小说,玻璃塔谜案,[日] 知念实希人,四川文艺出版社,2023-1,68.00元
小说,一句顶一万句,刘震云,长江文艺出版社,2009-3,29.80
小说,在小山和小山之间,李停,上海文艺出版社,2023-5-18,45.00
小说,檀香刑,莫言,浙江文艺出版社,2017-1,56.00元
小说,房思琪的初恋乐园,林奕含,北京联合出版公司,2018-2,45.00元
小说,鳄鱼,莫言,浙江文艺出版社,2023-6,56.00元
小说,坚,徐英瑾,广西师范大学出版社,2023-4,198.00
小说,杀死一只知更鸟,[美] 哈珀·李,译林出版社,2012-9,32.00元
小说,你的夏天还好吗？,[韩国] 金爱烂,人民文学出版社,2022-10-15,48.00元
小说,在森崎书店的日子,八木泽里志,南海出版公司,2020-3-1,55.00
